author_list_number,id,publication_status,title_abstract_page,authors_abstract_page,category_abstract_page,listing_event,listing_event_datetime,current_version,abstract_url,pdf_url,pdf_filename,pdf_sha256,pdf_size_bytes,pages,encrypted,font_count,font_names,submission_history
103,2607.0094,PUBLICADO,The Collapse: Machine-Checked Bond Reflection Positivity and a Site Reflection Form for the Coupled Z_2 Slice,Lluis Eriksson,Mathematical Physics,submitted,2026-07-31 16:03:53,1,https://ai.vixra.org/abs/2607.0094,https://ai.vixra.org/pdf/2607.0094v1.pdf,2607.0094v1.pdf,d50bf2479828bf5abb2570f38680df1d8e13f984a5a11f47ff952940e4a389c7,307752,8,no,21,APNMAI+CMR17; AQJBDD+CMMI10; BILCHA+CMMI8; DQARBW+CMSY10; EJBLOR+CMBX10; EUQEAH+CMR12; F76; F81; FEXLFJ+CMR8; FSJRSO+CMCSC10; HLQEKB+CMR10; KZHUZC+CMMI12; MNCJYI+CMMI6; MQZUYK+CMEX10; PHLUUA+CMMI7; PQIKRH+CMTT10; QIJIIO+CMBX12; RKDUWA+CMR7; SZSLUI+MSBM10; TMCDBM+CMSY8; VRWGMM+CMTI10,"[{""version"": ""v1"", ""datetime"": ""2026-07-31 16:03:53"", ""pdf_url"": ""https://ai.vixra.org/pdf/2607.0094v1.pdf""}]"
102,2607.0093,PUBLICADO,The Modulus: a Machine-Checked Operator Bound on the Fluctuation Sector of the Coupled Z_2 Slice,Lluis Eriksson,Mathematical Physics,submitted,2026-07-30 06:19:09,1,https://ai.vixra.org/abs/2607.0093,https://ai.vixra.org/pdf/2607.0093v1.pdf,2607.0093v1.pdf,200cfe770180f86aa725683d20424772e009ccc980c991faa7f03f99b42287b8,106838,8,no,23,AKHCZK+LMRoman12-Bold-Identity-H; BZIVMZ+LMRoman12-Regular-Identity-H; CAFSZL+LMMono10-Italic-Identity-H; DDIEWW+MSBM10; DZGKAF+CMSY7; FKPJSN+CMR12; FZDNHS+CMR5; GJMHKB+CMSY5; GQYLQL+CMSY8; IHAIZV+LMRoman17-Regular-Identity-H; IXFAWU+LMRoman10-Bold-Identity-H; JAGKKY+CMSY10; KPXLOM+CMMI7; LPOGEQ+CMR8; NITCSQ+CMMI8; NOMARO+CMMI10; PVTTLK+CMR10; TQTHRL+LMRoman10-Regular-Identity-H; UBBQTN+CMEX10; UTACNV+CMR7; VDVGTR+LMMono10-Regular-Identity-H; WXMALW+CMR6; YEUUOC+LMRoman10-Italic-Identity-H,"[{""version"": ""v1"", ""datetime"": ""2026-07-30 06:19:09"", ""pdf_url"": ""https://ai.vixra.org/pdf/2607.0093v1.pdf""}]"
101,2607.0092,PUBLICADO,The Rate Without the Extent: a Machine-Checked Uniform Spectral Modulus for the Decoupled Z_2 Slice,Lluis Eriksson,Mathematical Physics,submitted,2026-07-30 14:48:32,1,https://ai.vixra.org/abs/2607.0092,https://ai.vixra.org/pdf/2607.0092v1.pdf,2607.0092v1.pdf,8c87e83ee84f11aa4688fa6c17c3a6bb02f916968ef7265f02a46f6ef8bfd593,96375,6,no,21,AKHCZK+LMMonoLt10-Bold-Identity-H; BZIVMZ+LMRoman12-Regular-Identity-H; CAFSZL+LMMono10-Regular-Identity-H; DDIEWW+LMRomanCaps10-Regular-Identity-H; DZGKAF+CMR7; FKPJSN+MSBM10; FZDNHS+CMEX10; GJMHKB+CMSY7; IHAIZV+LMRoman17-Regular-Identity-H; IXFAWU+LMRoman10-Bold-Identity-H; JAGKKY+CMR10; KPXLOM+CMSY10; LPOGEQ+CMR8; NITCSQ+CMMI8; NOMARO+CMMI10; PVTTLK+CMR12; TQTHRL+LMRoman10-Regular-Identity-H; UBBQTN+CMSY8; UTACNV+CMMI7; VDVGTR+LMRoman12-Bold-Identity-H; YEUUOC+LMRoman10-Italic-Identity-H,"[{""version"": ""v1"", ""datetime"": ""2026-07-30 14:48:32"", ""pdf_url"": ""https://ai.vixra.org/pdf/2607.0092v1.pdf""}]"
100,2607.0091,PUBLICADO,A Machine-Checked Thermodynamic Limit for Local Lattice Gauge Gibbs States,Lluis Eriksson,Mathematical Physics,submitted,2026-07-30 18:51:18,1,https://ai.vixra.org/abs/2607.0091,https://ai.vixra.org/pdf/2607.0091v1.pdf,2607.0091v1.pdf,0a494cd745da4760428ad4e915075469c95eab7e638856b5e49925ec662a0919,104063,7,no,5,AAAAAA+Cambria-0; AAAAAA+Cambria-Bold; AAAAAA+Cambria-Italic; Courier; Helvetica,"[{""version"": ""v1"", ""datetime"": ""2026-07-30 18:51:18"", ""pdf_url"": ""https://ai.vixra.org/pdf/2607.0091v1.pdf""}]"
99,2607.0090,PUBLICADO,The Weight That Could Not Break It: Machine-Checked Endpoint Reflection Positivity for the Coupled Z_2 Slice,Lluis Eriksson,Mathematical Physics,submitted,2026-07-30 20:31:57,1,https://ai.vixra.org/abs/2607.0090,https://ai.vixra.org/pdf/2607.0090v1.pdf,2607.0090v1.pdf,2cf776265eafc5f35eeb234a4d671d574bd889bbccc44995ff5468407a2a6c1a,299014,6,no,22,AYBJXJ+CMTI10; CJAVJZ+CMBX12; DVDCNA+CMSY10; ELDODJ+CMCSC10; F77; F93; FANPJN+CMSY8; FEBRJO+CMEX10; GGWVCC+MSBM10; IJUNYF+CMR17; ILBXDK+CMBX10; IRLHIR+CMR8; KZHUZC+CMMI12; PSZCKF+CMR10; PXBGHL+CMSY7; SWACOH+CMMI10; VJJVQK+CMMI8; VSLMFU+CMTI12; XFYIUR+CMITT10; XJWHKA+CMTT10; XVAHDD+CMR12; XZRDRN+CMMI7,"[{""version"": ""v1"", ""datetime"": ""2026-07-30 20:31:57"", ""pdf_url"": ""https://ai.vixra.org/pdf/2607.0090v1.pdf""}]"
98,2607.0089,PUBLICADO,Global Ratio Monotonicity for a Killed von Mises Bridge,Lluis Eriksson,Mathematical Physics,submitted,2026-07-28 22:32:03,1,https://ai.vixra.org/abs/2607.0089,https://ai.vixra.org/pdf/2607.0089v1.pdf,2607.0089v1.pdf,e8cc61a1c370d941baff0ae9019dde4c0d528dbeb42f7c81b221667c1e67333e,668250,33,no,28,BDNBYZ+LMMathSymbols8-Regular; BQZOGN+LMRoman17-Regular; CAETXT+LMMathItalic12-Regular; CEPKPK+LMRoman10-Bold; CLEOKM+LMRoman12-Bold; EDZQFZ+LMMathSymbols10-Regular; FWIQUW+LMMathItalic6-Regular; GFKPYW+LMMono8-Regular; GGYTHV+LMMathItalic8-Regular; KVOUXK+LMMathExtension10-Regular; MCVQNJ+LMMathSymbols7-Regular; NETUJP+LMMono10-Regular; QNZBKA+LMRoman8-Regular; QOCYZL+LMRoman12-Regular; RIQRZG+LMRoman10-Italic; SFMPRZ+LMMathItalic7-Regular; SNBJHO+LMMathSymbols6-Regular; SQNOJU+LMMathItalic10-Regular; UDAVER+LMRoman7-Regular; UFDGAY+MSAM10; WRAJNN+LMRoman6-Regular; WRLBKM+MSBM10; XTZDJV+LMMono10-Italic; YPBDKO+LMRoman10-Regular,"[{""version"": ""v1"", ""datetime"": ""2026-07-28 22:32:03"", ""pdf_url"": ""https://ai.vixra.org/pdf/2607.0089v1.pdf""}]"
97,2607.0088,PUBLICADO,Blind to the Coupling: a Second Machine-Checked Obstruction at Spatial Extent,Lluis Eriksson,Mathematical Physics,submitted,2026-07-28 23:30:40,1,https://ai.vixra.org/abs/2607.0088,https://ai.vixra.org/pdf/2607.0088v1.pdf,2607.0088v1.pdf,42617528c0df0ad3e813ee77c11722c53e5ea1b4b97dc93f22d9ece45d29e4cb,118268,9,no,23,AKHCZK+LMRoman10-Italic-Identity-H; BZIVMZ+LMRoman12-Regular-Identity-H; CAFSZL+LMMono10-Italic-Identity-H; DDIEWW+LMMono8-Regular-Identity-H; DZGKAF+CMR8; FKPJSN+MSBM10; FZDNHS+CMSY10; GJMHKB+CMMI8; GQYLQL+CMMI6; IHAIZV+LMRoman17-Regular-Identity-H; IXFAWU+LMRoman10-Bold-Identity-H; JAGKKY+CMMI10; KPXLOM+CMR10; LPOGEQ+CMEX8; NITCSQ+CMSY8; NOMARO+CMMI7; PVTTLK+CMR7; TQTHRL+LMRoman10-Regular-Identity-H; UBBQTN+CMEX10; UTACNV+CMSY7; VDVGTR+LMRoman12-Bold-Identity-H; WXMALW+CMR6; YEUUOC+LMMono10-Regular-Identity-H,"[{""version"": ""v1"", ""datetime"": ""2026-07-28 23:30:40"", ""pdf_url"": ""https://ai.vixra.org/pdf/2607.0088v1.pdf""}]"
96,2607.0085,PUBLICADO,"The Vacuum Was Never Absent: A Machine-Checked Perron Theorem for Strictly Positive Kernels, and the Coupled-Slice Vacuum at Every Spatial Extent",Lluis Eriksson,Mathematical Physics,submitted,2026-07-29 06:36:35,1,https://ai.vixra.org/abs/2607.0085,https://ai.vixra.org/pdf/2607.0085v1.pdf,2607.0085v1.pdf,6349c8e555f10fde30e0457f54c841da9d05e252cf34e65f6a8064d463318e74,88762,6,no,18,AKHCZK+LMMono10-Regular-Identity-H; BZIVMZ+LMRoman12-Regular-Identity-H; CAFSZL+LMRoman12-Bold-Identity-H; DDIEWW+MSBM10; DZGKAF+CMR6; FKPJSN+CMR7; FZDNHS+CMR8; GJMHKB+CMSY8; IHAIZV+LMRoman17-Regular-Identity-H; IXFAWU+LMMono12-Regular-Identity-H; JAGKKY+CMR10; KPXLOM+CMEX10; NOMARO+CMSY10; PVTTLK+CMMI10; TQTHRL+LMRoman10-Bold-Identity-H; UTACNV+CMMI8; VDVGTR+LMRoman10-Italic-Identity-H; YEUUOC+LMRoman10-Regular-Identity-H,"[{""version"": ""v1"", ""datetime"": ""2026-07-29 06:36:35"", ""pdf_url"": ""https://ai.vixra.org/pdf/2607.0085v1.pdf""}]"
95,2607.0084,PUBLICADO,Strict but Not Uniform: a Machine-Checked Spectral Gap at Every Finite Extent of the Coupled Slice,Lluis Eriksson,Mathematical Physics,submitted,2026-07-29 10:08:56,1,https://ai.vixra.org/abs/2607.0084,https://ai.vixra.org/pdf/2607.0084v1.pdf,2607.0084v1.pdf,e8063013965ea1699718d08f2bce1646e73f0dd2b970a518bb9e6339c68d78a0,83708,6,no,17,AKHCZK+LMRoman12-Bold-Identity-H; BZIVMZ+LMRoman12-Regular-Identity-H; CAFSZL+MSBM10; DDIEWW+CMR7; DZGKAF+CMR8; FKPJSN+CMSY10; FZDNHS+CMSY8; IHAIZV+LMRoman17-Regular-Identity-H; IXFAWU+LMRoman10-Bold-Identity-H; JAGKKY+CMR10; KPXLOM+CMMI8; NOMARO+CMSS8; PVTTLK+CMMI10; TQTHRL+LMRoman10-Regular-Identity-H; UTACNV+CMEX10; VDVGTR+LMMono10-Regular-Identity-H; YEUUOC+LMRoman10-Italic-Identity-H,"[{""version"": ""v1"", ""datetime"": ""2026-07-29 10:08:56"", ""pdf_url"": ""https://ai.vixra.org/pdf/2607.0084v1.pdf""}]"
94,2607.0083,PUBLICADO,The Measure the Spectral Results Were About: a Machine-Checked Transfer Bridge for the Spatial Z_2 Slice,Lluis Eriksson,Mathematical Physics,submitted,2026-07-29 14:35:16,1,https://ai.vixra.org/abs/2607.0083,https://ai.vixra.org/pdf/2607.0083v1.pdf,2607.0083v1.pdf,0a0acc85773ff6557ca65b5a49027c29aeee99cd45e7861c474bd0bbe876ca18,86757,6,no,18,AKHCZK+LMRoman12-Bold-Identity-H; BZIVMZ+LMRoman12-Regular-Identity-H; CAFSZL+MSBM10; DDIEWW+CMR12; DZGKAF+CMSY8; FKPJSN+CMR7; FZDNHS+CMEX10; GJMHKB+CMEX8; IHAIZV+LMRoman17-Regular-Identity-H; IXFAWU+LMRoman10-Bold-Identity-H; JAGKKY+CMMI10; KPXLOM+CMMI8; NOMARO+CMR8; PVTTLK+CMR10; TQTHRL+LMRoman10-Regular-Identity-H; UTACNV+CMSY10; VDVGTR+LMMono10-Regular-Identity-H; YEUUOC+LMRoman10-Italic-Identity-H,"[{""version"": ""v1"", ""datetime"": ""2026-07-29 14:35:16"", ""pdf_url"": ""https://ai.vixra.org/pdf/2607.0083v1.pdf""}]"
